Title of Book or Manuscript,file_name,page #,Book or Manuscript,Title of Poem,text,DocSoutTrascription
Poems by a slave,poemsbyslavehort_0010.jpg,10,Book,,"ern:

_! Philadelphia, September, 1837.

2 POEMS BY A SLAVE.

others which Mr. Horton owns, in circumstances of the greatest
possible simplicity. His master says he knew nothing of his
poetry, but as he heard of it from others. Gnrorer knows how
to read, and is now learning to write. All his pieces are written
down by others; and his reading, which is done at night, and at
the usual intervals allowed to slaves, has been much employed
on poetry, such as he could procure, this being the species of
composition most interesting to him. It is thought bestto print
his productions without correction, that the mind of the reader
may be in no uncertainty as to the originality and genuineness
of every part. We shall conclude this account of Grorce,
with an assurance that he has been ever a faithful, honest and

™ «big heart has felt deeply and sensitively
{)) Seale tha

SIOW Opava, |

“The Hope of Liberty, contaimug o .
pieces. By George M. Horton. Raleigh, printed by Gares w
Son, 1829.” .

Observe Ist, That Gales, the printer of the pamphlet, is now
one of the firm of Gales & Seaton, at Washington,—no aboli-
tionist, 2nd, The»publisher admits slavery to be “the lowest
possible condition of human nature ;”’ and that the slaves are
not all happy, for George ‘‘felt deeply and sensitively.” 3d,

os

The man-who could write such poems-was kept for 32 years in |

«the lowest possible condition of human nature,’ and was to
remain there if he would not consent to go to Liberia.

ether the poems sold for sufficient to buy this man, so
dangerous to ‘* Southern institutions,”’ and export him, 1 have

no been able to ascertain. Perhaps George is still a slave !
f L, C, G,

 

 

,

 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0011.jpg,11,Book,,"68715

POEMS BY A SLAVE. 3

PRAISE OF CREATION.

Creation fires my tongue!
Nature thy anthems raise ;
And spread the universal song
Of thy Creator’s praise !

Heaven’s chief delight was Man
Before Creation’s birth—

Ordained with joy to lead the van,
And reign the lord of earth.

When Sin was quite unknown,
And all the woes it brought,

He hailed the morn withont a groan
Or one corroding thought.

When each revolving wheel
Assumed its sphere sublime,
Submissive Earth then heard the peal,
And struck the march of time.

The march in Heaven begun,
And splendor filled the skies,
‘When Wisdom bade the morning Sun
With joy from chaos rise.

The angels heard the tune
Throughout creation ring ;
They seized their golden harps as soon
And touched on every string.

When time and space were young,
And music rolled along—

The morning stars together sung,
And Heaven was drown’d in song.

Ye towering eagles soar,
And fan Creation’s blaze,

And ye terrific lions roar, i
To your Creator’s praise. :
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0012.jpg,12,Book,,"POEMS BY A SLAVE.

Responsive thunders roll,
Loud acclamations sound,

And show your Maker’s vast control
O’er all the worlds around.

Stupendous mountains smoke,
And lift your summits high,

To him who all your terrors woke,
Dark’ning the sapphire sky.

Now let my muse descend,
To view the march below—
Ye subterraneous worlds attend
And bid your chorus flow.

Ye vast volcanoes yell
Whence fiery cliffs are hurled;
And all ye liquid oceans swell
Beneath the solid world.

Ye cataracts combine,
Nor let the pean cease—
The universal concert join,
Thou dismal precipice.

But halt my feeble tongue,
My weary muse delays:

But, oh my soul, still float along
Upon the flood of praise!
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0013.jpg,13,Book,,"POEMS BY A SLAVE.

ON THE SILENCE OF A YOUNG LADY,
On account of the imaginary flight of her suitor.

Oh, heartless dove ! mount in the skies,
Spread thy soft wing upon the gale,
Or on thy sacred pinions rise,
Nor brood with silence in the vale.

Breathe on the air thy plaintive note,
Which oft has filled the lonesome grove,
And let thy melting ditty float—
The dirge of long lamented love.

Coo softly to the silent ear,
And make the floods of grief to roll ;
And cause by love the sleeping tear,
To wake with sorrow from the soul.

Is it the loss of pleasures past

Which makes thee droop thy sounding wing ?
Does winter’s rough, inclement blast

Forbid thy tragic voice to sing ?

Is it because the fragrant breeze
Along the sky forbears to fllw—

Nor whispers low amidst the trees,
Whilst all the vallies frown below ?

Why should a frown thy soul alarm,
And tear thy pleasures from thy breast?
Or veil the siniles of every charm,
And rob thee of thy peacefu! rest.

Perhaps thy sleeping love may wake,
And hear thy penitential tone ;

And suffer not thy heart to break,
Nor let a princess grieve alone.

Perhaps his pity may return,
With equal feeling from the heart,
And breast with breast together burn,
Never—no, never more to part.

1*
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0014.jpg,14,Book,,"POEMS BY A SLAVE.

Never, till death’s resistless blow,
Whose cal] the dearest must obey—
In twain together then may go,
And thus together dwel! for aye.

Say to the suitor, Come away,

Nor break the knot which love has tied—
Nor to the world thy trust betray,

And fly for ever from thy bride.

ned, Eo —

THE LOVER’S FAREWELL.

And wilt thou, love, my soul display,
And all my secret thoughts betray?
I strove, but could not hold thee fast,
My heart flies off with thee at last.

The favorite daughter of the dawn,

On love’s mild breeze will soon be gone;
I strove, but could not cease to love,
Nor from my heart the weight remove.

And wilt thou, love, my soul beguile,
And gull thy fav’rite with a smile?
Nay, soft affection answers, nay,

And beauty wings my heart away.

i steal on tiptoe from these bowers,
All spangled with a thousand flowers ;
I sigh, yet leave them all behind,

To gain the object of my mind.

And wilt thou, love, command my soul,
And waft me with a light control ?—
Adieu to all the blooms of May,
Farewell—I fly with love away!

I leave my parents here behind,

And all my friends—to love resigned—
*Tis grief to go, but death to stay :
Farewell—I’m gone with love away!
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0015.jpg,15,Book,,"POEMS BY A SLAVE.

ON LIBERTY AND SLAVERY.

Alas! and am I born for this,
To wear this slavish chain ?
Deprived of all created bliss,
Through hardship, toil and pain !

How long have | in bondage lain,
And languished to be free !

Alas ! and must I still complain—
Deprived of liberty.

Oh, Heaven ! and is there no relief
This side the silent grave—

To soothe the pain—to quell the grief
And anguish of a slave ?

Come Liberty, thou cheerful sound,
Roll through my ravished ears !

Come, let my grief in joys be drowned,
And drive away my fears.

Say unto foul oppression, Cease :
Ye tyrants rage no more,

And let the joyful trump of peace,
Now bid the vassal soar.

Soar on the pinions of that dove
Which long has cooed for thee,

And breathed her notes from Afric’s grove,
The sound of Liberty.

Oh, Liberty ! thou golden prize,
So often sought by blood—
We crave thy sacred sun to rise,

The gift of nature’s God!

Bid Slavery hide her haggard face,
And barbarism fly :

I scorn to see the sad disgrace
In which enslaved I lie.

Dear Liberty ! upon thy breast,
1 languish to respire ;

And like the Swan unto her nest,
Td to thy smiles retire,
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0016.jpg,16,Book,,"POEMS BY A SLAVE.

Oh, blest asylum—heavenly balm !
Unto thy boughs J flee—
And in thy shades the storm shall calm,
With songs of Liberty !

th ee

TO WZ.

Eliza, tell thy lover why

Or what induced thee to deceive me ?
Fare thee well—away I fly—

I shun the lass who thus will grieve me.

Eliza, still thou art my song,
Although by force I may forsake thee;
Fare thee well, for I was wrong
To woo thee while another take thee.

Eliza, pause and think awhile—
Sweet lass! I shall forget thee never:
Fare thee well ! although I smile,

I grieve to give thee up for ever.

Eliza, I shall think of thee—
My heart shall ever twine about thee ;
Fare thee well—but think of me,
Compell’d to live and die without thee.
“Fare thee well !—and if for ever,
Still for ever fare thee well !”

reed Gee

LOVE.

‘Whilst tracing thy visage, I sink in emotion,
For no other damsel so wond’rous I see;

Thy looks are so pleasing, thy charms so amazing,
1 think of no other, my true-love, but thee.

With heart-burning rapture I gaze on thy beauty,
And fly like a bird to the boughs of a tree;

Thy looks are so pleasing, thy charms so amazing,
I fancy no other, my true-love, but thee.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0017.jpg,17,Book,,"POEMS BY A SLAVE. 9

Thus oft in the valley I think, and I wonder
Why cannot a maid with her lover agree ?

Thy looks are so pleasing, thy charms so amazing,
I pine for no other, my true-love, but thee.

I'd fly from thy frowns with a heart full of sorrow—
Return, pretty damsel, and smile thou on me;

By every endeavour, 1’1] try thee for ever,
And languish until I am fancied by thee.

th ue

ON THE DEATH OF AN INFANT.

Blest Babe! it at length has withdrawn,
The Seraphs have rocked it to sleep ;

Away with an angelic smile it has gone,
And left a sad parent to weep !

It soars from the ocean of pain,
On breezes of precious perfume ;

O be not discouraged when death is but gain—
The triumph of life from the tomb.

With pleasure I thought it my own,
And smil’d on its infantile charms ;

But some mystic bird, like an eagle, came down,
And snatch’d it away from my arms.

Blest Babe, it ascends into Heaven,
It mounts with delight at the call ;

And flies to the bosom from whence it was given,
The Parent and Patron of all.

cr? 1% oe

THE SLAVE’S COMPLAINT.

Am I sadly cast aside,

On misfortune’s rugged tide ?

Will the world my pains deride
For ever ?

Must I dwell in Slavery’s night,

And all pleasure take its flight,

Far beyond my feeble sight,
For ever?
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0018.jpg,18,Book,,"10

POEMS BY A SLAVE.

Worst of all, must Hope grow dim,
And withhold her cheering beam?
Rather let me sleep and dream

For ever !

Something still my heart surveys,

Groping through this dreary maze 5

Is it Hope 1—then burn and blaze
For ever!

Leave me not a wretch confined,

Altogether Jame and blind—

Unto gross despair consigned,
For ever!

Heaven! in whom can I confide?
Canst thou not for all provide?
Condescend to be my guide

For ever:

And when this transient life shall end,
Oh, may some kind, eternal friend
Bid me from servitude ascend,

For ever!

neg Soh Soo —

ON THE TRUTH OF THE SAVIOUR.

E’en John the Baptist did not know
Who Christ the Lord could be,
And bade his own disciples go,
The strange event to see.

They said, Art thou the one of whom
*T was written long before ?

Is there another still to come,
Who will all things restore ?

This is enough, without a name—
Go, tell him what is done;

Behold the feeble, weak and lame,
With strength rise up and run.

This is enough—the blind now see,
The dumb Hosannas sing ;

Devils far from his presence flee,
As shades from morning’s wing.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0019.jpg,19,Book,,"POEMS BY A SLAVE. 1

See the distress’d, all bathed in tears,
Prostrate before him fall ;

Immanuel speaks, and Lazarus hears—
The dead obeys his call.

This is enough—the fig-tree dies,
And withers at his frown ;

Nature her God must recognise,
And drop her flowery crown,

At his command the fish increase,
And loaves of barley swell—

Ye hungry eat, and hold your peace,
And find a remnant still.

At his command the water blushed,
And all was turned to wine,

And in redundance flowed afresh,
And owned its God divine.

Behold the storms at his rebuke,
All calm upon the sea—

How can we for another look,
When none can work as he?

This is enough—it must be God,

. From whom the plagues are driven ;

At whose command the mountains nod
And all the Host of Heaven!

aati

ON SPRING.

Hail, thou auspicious vernal dawn!
Ye birds, proclaim the winter’s gone,
Ye warbling minstrels sing;

Pour forth your tribute as ye rise,
And thus salute the fragrant skies
The pleasing smiles of Spring.

Coo sweetly, oh thou harmless Dove,
And bid thy mate no longer rove,
In cold, hybernal vales ;
Let music rise from every tongue,
Whilst winter flies before the song,
Which floats on gentle gales.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0020.jpg,20,Book,,"POEMS BY A SLAVE.

Ye frozen streams dissolve and flow

Along the valley, sweet and slow;
Divested fields be gay ;

Ye drooping forests bloom on high,

And raise your branches to the sky,
And thus your charms display.

Thou world of heat—thou vital source,
The torpid insects feel thy force,
Which all with life supplies ;
Gardens and orchards richly bloom,
And send a gale of sweet perfume,
To invite them as they rise.

Near where the crystal waters glide,
The male of birds escorts his bride,
And twitters on the spray ;

He mounts upon his active wing,
To hail the bounty of the Spring,
The lavish pomp of May.

Inspiring month of youthful Love,

How oft we in the peaceful grove,
Survey the flowery plume;

Or sit beneath the sylvan shade,

Where branches wave above the head,
And smile on every bloom.

Exalted month, when thou art gone,
May Virtue then begin the dawn
Of an eternal Spring ?
May raptures kindle on my tongue,
And start a new, eternal song,
Which ne’er shall cease to ring!
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0021.jpg,21,Book,,"POEMS BY A SLAVE. 13

ON SUMMER.

Esteville fire begins to burn;

The auburn fields of harvest rise ;
The torrid flames again return,

And thunders roll along the skies.

Perspiring Cancer lifts his head,
And roars terrific from on high ;

Whose voice the timid creatures dread,
From which they strive with awe to fly.

The night-hawk ventures from his cell,
And starts his note in evening air;

He feels the heat his bosom swell,
Which drives away the gloom of fear.

Thou noisy insect, start thy drum;

Rise lamp-like bugs to light the train;
And bid sweet Philomela come,

And sound in front the nightly strain,

The bee begins her ceaseless hum,
And doth with sweet exertions rise;

And with delight she stores her comb,
And well her rising stock supplies.

Let sportive children well beware,

While sprightly frisking o’er the green;
And carefully avoid the snare,

Which lurks beneath the smiling scene,

The mistress bird assumes her nest,
And broods in silence on the tree,

Her note to cease, her wings at rest,
She patient waits her young to see.

The farmer hastens from the heat;

The weary plough-horse droops his head;
The cattle all at noon retreat,

And ruminate beneath the shade.

The burdened ox with dauntless rage,
Flies heedless to the liquid flood,

From which he quaffs, devoid of guage,
Regardless of his driver’s rod,

2
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0022.jpg,22,Book,,"14

POEMS BY A SLAVE«

Pomaceous orchards now expand
Their laden branches o’er the lea ;

And with their bounty fill the land,
While plenty smiles on every tree.

On fertile borders, near the stream,
Now gaze with pleasure and delight;

See loaded vines with melons teem—
“Tis paradise to human sight.

With rapture view the smiling fields,
Adorn the mountain and the plain,

Each, on the eve of Autumn, yields
A large supply of golden grain.

tho ee

ON WINTER.

When smiling Summer’s charms are past,
The voice of music dies;

Then Winter pours his chilling blast
From rough inclement skies.

The pensive dove shuts up her throat,
The larks forbear to soar,

Or raise one sweet, delightful note,
Which charm’d the ear before.

The screech-owl peals her shivering tone
Upon the brink of night;
As some sequestered child unknown,
Which feared to come in sight.

The cattle all desert the field,
And eager seek the glades

Of naked trees, which once did yield
Their sweet and pleasant shades.

The humming insects all are still,
The beetles rise no more,

The constant tinkling of the bell,
Along the heath is o’er.

Stern Boreas hurls each piercing gale
With snow-clad wings along,

Discharging volleys mixed with hail
Which chill the breeze of song.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0023.jpg,23,Book,,"POEMS BY A SLAVE. 15

Lo, all the Southern windows close,
Whence spicy breezes roll ;

The herbage sinks in sad repose,
And Winter sweeps the whole.

Thus after youth old age comes on,
And brings the frost of time,

And e’er our vigour has withdrawn,
We shed the rose of prime.

Alas! how quick it is the case,
The scion youth is grown—

How soon it runs its morning race,
And beauty’s sun goes down.

The Autumn of declining years
Must blanch the father’s head,
Encumbered with a load of cares,
When youthful charms have fled.

=a

HEAVENLY LOVE. \

Eternal spring of boundless grace,
It lifts the soul above,

Where God the Son unveils his face,
And shows that Heaven is love.

Love that revolves through endless years—
Love that can never pall;

Love which excludes the gloom of fears,
Love to whom God is all!

Love which can ransom every slave,
And set the pris’ner free ;

Gild the dark horrors of the grave,
And still the raging sea.

Let but the partial smile of Heaven
Upon the bosom play,

The mystic sound of sins forgiven,
Can waft the soul away.

The pilgrim’s spirits show this love,
They often soar on high;

Languish from this dim earth to move,
And leave the flesh to die.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0024.jpg,24,Book,,"POEMS BY A SLAVE.

Sing, oh my soul, rise up and run,
And leave this clay behind;

Wing thy swift flight beyond the sun,
Nor dwell in tents confine

a
ee

ON THE DEATH OF REBECCA.
Thou delicate blossom! thy short race is ended,
Thou sample of virtue and prize of the brave!
No more are thy beauties by mortals attended,
They now are but food for the worms and the grave.

Thou art gone to the tomb, whence there’s no returning,
And left us behind in a vale of suspense ;

In vain to the dust do we follow thee mourning,
The same doleful tramp will soon call us all hence.

I view thee now launched on eternity’s o
Thy soul how it smiles as it floats on the wave;
It smiles as if filled with the softest emotion,
But looks not behind on the frowns of the grave.

‘The messenger came from afar to relieve thee—
In this lonesome valley no more shalt thou roam ;
Bright seraphs now stand on the banks to receive thee,
And ery, “Happy stranger, thou art welcome at home.

Thou art gone to a feast, while thy friends are bewailing,
Oh, death is a song to the poor ransom’d slave;

Away with bright visions the spirit goes sailing,
And leaves the frail body to rest in the grave.

Rebecca is free from the pains of oppression,

No friends could prevail with her longer to stay ;
She smiles on the fields of eternal fruition,

Whilst death like a bridegroom attends her away.

She is gone in the whirlwind—ye seraphs attend her,
Through Jordan’s cold torrent her mantle may lave ;

She soars in the chariot, and earth falls beneath her,
Resign’d in a shroud to a peaceable grave.

 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0025.jpg,25,Book,,"POEMS BY A SLAVE.

ON DEATH.

Deceitful worm, that undermines the clay,
Which slyly steals the thoughtless soul, away,
Pervading neighborhoods with sad surprise,
Like sudden storms of wind and thunder rise.

The sounding death-watch lurks within the wall,
Away some unsuspecting soul to call;

The pendant willow droops her waving head,
And sighing zephyrs whisper of the dead.

ethinks J hear the doleful midnight knell—
me parting spirit bids the world farewell;
The taper burns as conscious of distress,
And seems to show the living number less.

Must a lov’d daughter from her father part,
And grieve for one who lies so near her heart?
And must she for the fatal Joss bemoan,

Or faint to hear his last departing groan.

Methinks I see him speechless gaze awhile,
And on her dr is ] paternal smile;
With gushing tears closing his humid eyes,
The last pulse beats, and in her arms he dies.

With pallid cheeks she lingers round his bier,
And heaves a farewell sigh with every tear;
With sorrow she consigns him to the dust,
And silent owns the fatal sentence just.

Still her sequestered mother seems to weep,
And spurns the balm which constitutes her sleep;
Her plaintive murmurs float upon the gale,

And almost make the stubborn rocks bewail.

O what is like the awful breach of death,

Whose fatal stroke invades the creature’s breath!

It bids the voice of desolation roll,

And strikes the deepest awe within the bravest soul.

 
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0026.jpg,26,Book,,"16

POEMS BY A SLAVE.

Sing, oh my soul, rise up and run,
And leave this clay behind;
Wing thy swift flight beyond the sun,
Nor dwell in tents confined.

eee

ON THE DEATH OF REBECCA.

Thou delicate blossom! thy short race is ended,
Thou sample of virtue and prize of the brave!
No more are thy beauties by mortals attended,
They now are but food for the worms and the grave.

Than art gone to the tomb, whence there’s no returning,
And left us behind in a vale of suspense ;

In vain to the dust do we follow thee mourning,
The same doleful trump will soon call us all hence.

I view thee now launched on eternity’s ocean,
Thy soul how it smiles as it floats on the wave;
It smiles as if filled with the softest emotion,
But looks not behind on the frowns of the grave.

The messenger came from afar to relieve thee—
In this lonesome valley no more shalt thou roam ;
Bright seraphs now stand on the banks to receive thee,
And ery, ‘Happy stranger, thou art welcome at home.””
Thou art gone to a feast, while thy friends are bewailing,
Oh, death is a song to the poor ransom’d slave ;
Away with bright visions the spirit goes sailing,
And leaves the frail body to rest in the grave.

Rebecca is free from the pains of oppression,

No friends could prevail with her longer to stay ;
She smiles on the fields of eternal fruition,

Whilst death like a bridegroom attends her away.

She is gone in the whirlwind—ye seraphs attend her,
Through Jordan’s cold torrent her mantle may lave ;

She soars in the chariot, and earth falls beneath her,
Resign’d in a shroud to a peaceable grave.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0027.jpg,27,Book,,"POEMS BY A SLAVE, 17

ON DEATH.

Deceitful worm, that undermines the clay,
Which slyly steals the thoughtless soul away,
Pervading neighborhoods with sad surprise,
Like sudden storms of wind and thunder rise.

The sounding death-watch lurks within the wall,
Away some unsuspecting soul to call;

The pendant willow droops her waving head,
And sighing zephyrs whisper of the dead.

Methinks J hear the doleful midnight knell—
Some parting spirit bids the world farewell;
The taper burns as conscious of distress,

And seems to show the living number less.

Must a lov’d daughter from her father part,
And grieve for one who lies so near her heart?
And must she for the fatal loss bemoan,

Or faint to hear his last departing groan.

Methinks I see him speechless gaze awhile,
And on her drop his last paternal smile;

With gushing tears closing his humid eyes,
The last pulse beats, and in her arms he dies.

With pallid cheeks she lingers round his bier,
And heaves a farewell sigh with every tear;
With sorrow she consigns him to the dust,
And silent owns the fatal sentence just.

Still her sequestered mother seems to weep,

And spurns the balm which constitutes her sleep;
Her plaintive murmurs float upon the gale,

And almost make the stubborn rocks bewail.

O what is like the awful breach of death,

Whose fatal stroke invades the creature’s breath!

It bids the voice of desolation roll,

And strikes the deepest awe within the bravest soul.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
Poems by a slave,poemsbyslavehort_0028.jpg,28,Book,,"18

POEMS BY A SLAVE.

ON THE EVENING AND MORNING.

When Evening bids the Sun to rest retire,
Unwearied Ether sets her lamps on fire ;
Lit by one torch, each is supplied in turn,
Till all the candles in the concave burn.

The night-hawk now, with his nocturnal tone,
Wakes up, and all the Owls begin to moan,
Or heave from dreary vales their dismal song,
Whilst in the air the meteors play along.

At length the silver queen begins to rise,
And spread her glowing mantle in the skies,
And from the smiling chambers of the east,
Invites the eye to her resplendent feast.

What joy is this unto the rustic swain,

Who from the mount surveys the moon-lit plain ;
Wro with the spirit of a dauntless Pan
Controls his fleecy train and leads the van;

Or pensive, muses on the water’s side,

Which purling doth thro’ green meanders glide,
With watchful care he broods his heart away
Till night is swallowed in the flood of day.

The meteors cease to play, that mov’d so fleet

And spectres from the murky groves retreat,

The prowling wolf withdraws, which howl’d so bold
And bleating flocks may venture from the fold.

The night-hawk’s din deserts the shepherd’s ear,
Succeeded by the huntsman’s trumpet clear,

O come Diana, start the morning chase

Thou ancient goddess of the hunting race.

Aurora’s smiles adorn the mountain’s brow,
The peasant hums delighted at his plough,
And lo, the dairy maid salutes her bounteous cow.
",https://docsouth.unc.edu/southlit/horton1837/horton1837.html
